Nombre de la Institución o Empresa,Sector,Entidad Federativa
REMOLQUES FUTURISTAS SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
ISLAS ARQUITECTOS S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
INSTITUTO TECNOLOGICO SUPERIOR DE ZAPOPAN,SERVICIOS EDUCATIVOS,JALISCO
UNIVERSIDAD TECNOLÓGICA DEL SUROESTE DE GUANAJUATO,SERVICIOS EDUCATIVOS,GUANAJUATO
FRANTOR S. DE R.L. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
GOBIERNO DEL ESTADO DE COAHUILA / CONSEJO ESTATAL DE CIENCIA Y TECNOLOGIA DE COAHUILA,SERVICIOS EDUCATIVOS,COAHUILA
"CENTRO DE CONOCIMIENTO EN COMUNIDAD, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CHIAPAS
"COMITE NACIONAL SISTEMA PRODUCTO CALAMAR GIGANTE, AC",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,SONORA
DRAGADOS Y PUERTOS S. DE R.L. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
HILATURAS LOS ANGELES S A DE C V,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",PUEBLA
"AGRICOLA HUMEDALES, S.P.R. DE R.L.",AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,CAMPECHE
ASOCIACIÓN PARA EL DESARROLLO INTEGRAL A.C.,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,DISTRITO FEDERAL
CONSEJO ECONÓMICO Y SOCIAL DEL ESTADO DE JALISCO PARA EL DESARROLLO Y LA COMPETITIVIDAD,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
"LABORATORIOS AVILAB, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
MHEDICI PROYECTOS DE INNOVACIÓN S. DE R.L. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
UNIVERSIDAD TECNOLOGICA DE XICOTEPEC DE JUAREZ,SERVICIOS EDUCATIVOS,PUEBLA
GRUPO OPERADOR DE INGENIERIA Y MONTAJE SA DE CV,CONSTRUCCION,NUEVO LEON 
OPERADORA DE BIENES Y SERVICIOS DE LA UNIVERSIDAD POLITECNICA DE PACHUCA S.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,HIDALGO
CIGRE MEXICO A.C.,ELECTRICIDAD AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,GUANAJUATO
"EPKAMEX, SA DE CV","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NUEVO LEON 
P.I. PROCESS IMPROVEMENT CONSULTING S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,ESTADO DE MEXICO
"HELIOCOL DE MEXICO, S.A. DE C.V",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,ESTADO DE MEXICO
"INDUSTRIES METROLOGY DE MEXICO, S.A.P.I. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,CHIHUAHUA
S.V.C.  S.A. DE C.V.,CONSTRUCCION,ZACATECAS
