Nombre de la Institución o Empresa,Sector,Entidad Federativa
"ACADEMIA DE ESTUDIOS FISCALES DE LA CONTADURIA PUBLICA, A.C.",NO APLICA A PARTIR DE SEPTIEMBRE 2016,MÉXICO
ASOCIACIÓN MEXICANA DE PEDAGOGÍA A.C.,NO APLICA A PARTIR DE SEPTIEMBRE 2016,CIUDAD DE MÉXICO
ASOCIACION NACIONAL DE CONSULTORES DE EMPRESAS A.C.,NO APLICA A PARTIR DE SEPTIEMBRE 2016,COAHUILA DE ZARAGOZA
"CENTRO DE DESARROLLO AGROECOLOGICO, SERVICIOS E INVESTIGACION",NO APLICA A PARTIR DE SEPTIEMBRE 2016,SAN LUIS POTOSÍ
"CENTRO DE ESTUDIOS EDUCATIVOS, A.C.",NO APLICA A PARTIR DE SEPTIEMBRE 2016,CIUDAD DE MÉXICO
"CENTRO DE ESTUDIOS SOCIALES PARA EL DESARROLLO ""CESOD-A.C""",NO APLICA A PARTIR DE SEPTIEMBRE 2016,MICHOACÁN DE OCAMPO
CENTRO DE INNOVACIÓN E INVESTIGACIÓN DE SISTEMAS PARA LA EDIFICACIÓN Y ENERGÍAS RENOVABLES S.A.P.I. DE C.V.,NO APLICA A PARTIR DE SEPTIEMBRE 2016,QUERÉTARO
"CENTRO DE INNOVACION MATEMATICA, A.C.",NO APLICA A PARTIR DE SEPTIEMBRE 2016,QUERÉTARO
"CENTRO DE INVESTIGACION EN TEORIA DE CATEGORIAS Y SUS APLICACIONES, A.C.",NO APLICA A PARTIR DE SEPTIEMBRE 2016,GUANAJUATO
CENTRO DE INVESTIGACION INTERDISCIPLINARIO  DEL ESTADO DE MEXICO,NO APLICA A PARTIR DE SEPTIEMBRE 2016,MÉXICO
CENTRO DE INVESTIGACION MEDICO BIOLOGICA Y TERAPIA AVANZADA SC,NO APLICA A PARTIR DE SEPTIEMBRE 2016,JALISCO
CENTRO DE INVESTIGACIÓN Y EVALUACION EDUCATIVA SAAVEDRA SC,NO APLICA A PARTIR DE SEPTIEMBRE 2016,CHIAPAS
"CENTRO DE INVESTIGACIONES PARA LA EQUIDAD, POLÍTICA PÚBLICA Y DESARROLLO S.C.",NO APLICA A PARTIR DE SEPTIEMBRE 2016,CIUDAD DE MÉXICO
CENTRO DE REPRODUCCION ARCOS SC,NO APLICA A PARTIR DE SEPTIEMBRE 2016,CIUDAD DE MÉXICO
CENTRO IBEROAMERICANO DE INVESTIGACIONES JURIDICAS Y SOCIALES A.C.,NO APLICA A PARTIR DE SEPTIEMBRE 2016,CHIAPAS
