,Unnamed: 0,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,duration_minutes
9472,9472,0.0847,['Travis Scott'],0.841,243837,0.728,1,6gBFPUFcJLzWGx4lenP6h2,0.0,7,0.149,-3.37,1,goosebumps,92,2016-09-16,0.0484,130.049,0.43,2016,4.06395
9672,9672,0.123,['Trevor Daniel'],0.784,159382,0.43,0,4TnjEaWOeW0eKTKIEvJyCa,0.0,10,0.0887,-8.756,0,Falling,93,2018-10-05,0.0364,127.087,0.236,2018,2.6563666666666665
9673,9673,0.00513,['Travis Scott'],0.8340000000000001,312820,0.73,1,2xLMifQCjDGFmkHkpNLD9h,0.0,8,0.124,-3.714,1,SICKO MODE,93,2018-08-03,0.222,155.00799999999995,0.446,2018,5.213666666666667
9772,9772,0.104,['Roddy Ricch'],0.8959999999999999,196653,0.586,1,0nbXyq5TXYPCO7pr3N8S4I,0.0,10,0.79,-6.687,0,The Box,97,2019-12-06,0.0559,116.971,0.642,2019,3.27755
9774,9774,0.256,['Doja Cat'],0.787,237893,0.6729999999999999,1,3Dv1eDb0MEgF93GpLXlucZ,3.57e-06,11,0.0904,-4.577,0,Say So,96,2019-11-07,0.158,110.962,0.7859999999999999,2019,3.9648833333333333
9775,9775,0.192,['Post Malone'],0.695,215280,0.762,0,21jGcNKet2qwijlDFuPiPb,0.00244,0,0.0863,-3.497,1,Circles,94,2019-09-06,0.0395,120.042,0.5529999999999999,2019,3.588
9776,9776,0.183,['Surfaces'],0.878,158571,0.525,0,1Cv1YLb4q0RzL6pybtaMLo,0.0,5,0.0714,-6.8320000000000025,1,Sunday Best,94,2019-01-06,0.0578,112.022,0.6940000000000001,2019,2.64285
9777,9777,0.0522,['Arizona Zervas'],0.621,163636,0.601,1,696DnlkuDOXcMAnKlTgXXK,0.0,6,0.46,-5.6160000000000005,0,ROXANNE,94,2019-10-10,0.14800000000000002,116.735,0.457,2019,2.7272666666666665
9779,9779,0.305,"['BENEE', 'Gus Dapperton']",0.863,223480,0.631,1,4nK5YrxbMGZstTLbvj6Gxw,3.04e-05,7,0.123,-4.689,1,Supalonely,95,2019-11-15,0.0534,128.977,0.8170000000000001,2019,3.724666666666667
9780,9780,0.0125,['Dua Lipa'],0.794,183290,0.7929999999999999,0,6WrI0LAC5M1Rw2MnX2ZvEg,0.0,11,0.0952,-4.521,0,Don't Start Now,94,2019-10-31,0.0842,123.941,0.677,2019,3.0548333333333333
9782,9782,0.0546,['Travis Scott'],0.598,175721,0.4270000000000001,1,3eekarcy7kvN4yt5ZFzltW,5.83e-06,7,0.21,-8.764,0,HIGHEST IN THE ROOM,92,2019-10-04,0.0317,76.469,0.0605,2019,2.9286833333333333
9786,9786,0.6920000000000001,['Tones And I'],0.8240000000000001,209438,0.588,0,2XU0oxnq2qxCpomAAuJY8K,0.000104,6,0.149,-6.4,0,Dance Monkey,95,2019-10-17,0.0924,98.027,0.513,2019,3.4906333333333333
9787,9787,0.902,['Billie Eilish'],0.7040000000000001,245426,0.225,0,3ZCTVFBt2Brf31RLEnCkWJ,0.657,6,0.106,-14.454,0,everything i wanted,91,2019-11-13,0.0994,120.006,0.243,2019,4.090433333333333
9790,9790,0.7509999999999999,['Lewis Capaldi'],0.501,182161,0.405,0,7qEHsqek33rTcFNT9PFqLf,0.0,1,0.105,-5.6789999999999985,1,Someone You Loved,92,2019-05-17,0.0319,109.891,0.446,2019,3.036016666666667
9796,9796,0.328,['Billie Eilish'],0.701,194088,0.425,0,2Fxmhks0bxGSBdJ92vM42m,0.13,7,0.1,-10.965,1,bad guy,92,2019-03-29,0.375,135.128,0.562,2019,3.2348
9799,9799,0.0686,"['Surf Mesa', 'Emilee']",0.674,176547,0.774,0,62aP9fBQKYKxi7PDXwcUAS,0.00188,11,0.393,-7.567,0,ily (i love you baby) (feat. Emilee),92,2019-11-26,0.0892,112.05,0.33,2019,2.94245
9803,9803,0.8370000000000001,['Maroon 5'],0.764,189486,0.32,0,2b8fOow8UzyDFAE27YhOZM,0.0,11,0.0822,-7.209,1,Memories,92,2019-09-20,0.0546,91.019,0.575,2019,3.1581
9830,9830,0.295,"['KAROL G', 'Nicki Minaj']",0.8029999999999999,200960,0.715,0,7k4t7uLgtOxPwTpFmtJNTY,0.000134,2,0.0574,-3.28,1,Tusa,93,2019-11-07,0.298,101.085,0.574,2019,3.3493333333333335
9872,9872,0.233,"['THE SCOTTS', 'Travis Scott', 'Kid Cudi']",0.716,165978,0.537,1,39Yp9wwQiSRIDOvrVg7mbk,0.0,0,0.157,-7.648,0,THE SCOTTS,97,2020-04-24,0.0514,129.97899999999998,0.28,2020,2.7663
9873,9873,0.247,"['DaBaby', 'Roddy Ricch']",0.746,181733,0.69,1,7ytR5pFWmSjzHJIeQkgog4,0.0,11,0.101,-7.956,1,ROCKSTAR (feat. Roddy Ricch),96,2020-04-17,0.16399999999999998,89.977,0.4970000000000001,2020,3.0288833333333334
9874,9874,0.321,['Drake'],0.8340000000000001,247059,0.454,1,127QTOFJsJQp5LbJbu3A1y,6.15e-06,1,0.114,-9.75,0,Toosie Slide,97,2020-04-03,0.201,81.618,0.8370000000000001,2020,4.11765
